year,from,to,count
2022,List_of_epidemics,Roman_Empire,101
2022,Roman_amphitheatre,Roman_Empire,72
2022,Gallia_Belgica,Roman_Empire,105
2022,History_of_Morocco,Roman_Empire,83
2022,Roman_conquest_of_Britain,Roman_Empire,682
2022,3rd_century,Roman_Empire,58
2022,Hemhem_crown,Ptolemy_XII_Auletes,67
2022,Publius_Cornelius_Dolabella_(consul_44_BC),Mark_Antony,10
2022,House_of_Wisdom,Library_of_Alexandria,258
2022,List_of_pharaohs,Caesarion,2400
2022,Assassination_of_Julius_Caesar,The_Death_of_Caesar_(Gérôme),100
2022,Bellum_Siculum,Augustus,66
2022,List_of_pontifices_maximi,Augustus,52
2022,Julius_Caesar,Dacia,121
2022,Ramesses_I,Pharaoh,324
2022,Military_of_ancient_Egypt,Pharaoh,56
2022,King_of_Egypt,Pharaoh,300
2022,Tutankhamun,Pharaoh,4000
2022,Vologases_I_of_Parthia,Parthian_Empire,132
2022,Saint_Cecilia,Appian_Way,201
2022,Julius_Caesar,Decimus_Junius_Brutus_Albinus,4428
2022,Karl_von_Habsburg,Diadem,1858
2022,Cleopatra,Roman_Syria,45
2022,Berbers,Ptolemaic_dynasty,44
2022,Cataphract,Kingdom_of_Armenia_(antiquity),37
2022,Ancient_Macedonians,History_of_Macedonia_(ancient_kingdom),107
2022,Classical_Greece,Artemision_Bronze,59
2022,Roman_Republic,Roman_mythology,38
2022,Alexander_the_Great,Kasta_Tomb,606
2022,Ancient_Rome,Hadrian's_Wall,91
2022,Culture_of_Greece,Classical_Greece,401
2022,Koine_Greek,Classical_Greece,36
2022,Hellenistic_Greece,Classical_Greece,890
2022,Marcus_Aemilius_Lepidus_(triumvir),Gaius_Maecenas,173
2022,Mediterranean_Sea,Slovenia,221
2022,Ptolemy_I_Soter,Jean_Fouquet,34
2022,Magnus,Pompey,194
2022,Ptolemy_(name),Ptolemy_I_Soter,409
2022,Classical_Greece,Diarchy,57
2022,Caesar's_civil_war,Illyria,328
2022,Alexander_the_Great,Alexander_Romance,762
2022,Creator_deity,Nefertiti,95
