year,from,to,count
2019,Dash,Dagger_(typography),196
2019,Copyleft,Open-source_license,473
2019,GameCube_accessories,ASCII,68
2019,Interrobang,Diacritic,86
2019,Inverted_question_and_exclamation_marks,American_English,672
2019,Asterix,Asterisk,2549
2019,Copyright_symbol,Guillemet,563
2019,ASCII,Bit-paired_keyboard,348
2019,Therefore_sign,Hyphen-minus,92
2019,Byte_order_mark,Unicode,794
2019,GNU_C_Library,Unicode,185
2019,Slash_(punctuation),Conjunction_(grammar),589
2019,Negative_sign_(astrology),Plus_and_minus_signs,896
2019,Percent_sign,Slash_(punctuation),1003
2019,Plug-in_(computing),Programming_language,101
2019,Slash_(punctuation),Question_mark,251
2019,Bangladeshi_taka,Currency_symbol,386
2019,Ghanaian_cedi,Currency_symbol,288
2019,Lucida_Sans_Unicode,Lucida,360
2019,Windows_Console,Box-drawing_character,38
2019,ASCII,Hugh_McGregor_Ross,340
2019,ASCII,64-bit_computing,367
2019,Tilde,Basis_point,152
2019,Double_acute_accent,Tilde,31
2019,Programming_language,ML_(programming_language),399
2019,Programming_language,C_Sharp_(programming_language),980
2019,Inverted_question_and_exclamation_marks,At_sign,70
2019,And,Ampersand,568
2019,Typography,Semicolon,68
2019,Dollar_sign,Ellipsis,509
2019,Slash_(punctuation),Retronym,273
2019,Ampersand,Pound_sign,75
2019,Multiplication_sign,Dash,45
2019,Copyright_symbol,Dash,512
2019,Comma,Aristophanes_of_Byzantium,280
2019,Apostrophe,Copyleft,190
2019,Semicolon,Arabic,26
2019,Interrobang,Lozenge,1139
2019,Diacritic,List_of_logic_symbols,568
2019,Parameter_(computer_programming),Command-line_interface,142
2019,Currency_symbol,Currency_Symbols_(Unicode_block),1506
2019,Punctuation,Supplemental_Punctuation,153
2019,Ol_Chiki_script,Unicode,12
2019,ISO_8601,Slash_(punctuation),1774
2019,Comma,Interpunct,329
2019,Lists_of_programming_languages,Programming_language,398
2019,Zen_of_Python,Programming_language,35
2019,Philippine_peso_sign,Currency_symbol,809
2019,Comma,Basis_point,87
2019,ASCII,Code_page_862,244
2019,Underscore,Tilde,133
2019,ASCII,ABICOMP_character_set,243
2019,Unicode,Gothic_alphabet,245
2019,Full_stop,Decimal_separator,499
2019,Copyleft,GNU_C_Library,667
2019,ASCII,Code_page_1014,245
2019,List_of_typographical_symbols,Ampersand,681
2019,ASCII,ISO-IR-200,248
2019,Unicode,Open-source_Unicode_typefaces,563
2019,Slash_(punctuation),Terms_for_Syriac_Christians,466
2019,Typesetting,Glyph,514
2019,Repeating_decimal,Ellipsis,20
2019,Parity_bit,ASCII,168
2019,Esc_key,ASCII,300
2019,Wildcard_character,Asterisk,180
2019,Currency_symbol,Groschen,111
2019,Bracket,Order_of_operations,289
2019,Slash_(punctuation),Voiced_pharyngeal_fricative,178
2019,YAML,Hyphen-minus,125
2019,JSON,Unicode,1087
2019,Roman_numerals,Unicode,167
2019,Tau,Unicode,88
2019,Digital_object_identifier,Unicode,647
2019,Trademark_symbol,Slash_(punctuation),158
2019,Graphics,Character_(computing),114
2019,Component_Object_Model,Programming_language,216
2019,Code_point,Unicode_collation_algorithm,504
2019,Ogonek,Tilde,150
2019,QWERTY,Compose_key,164
2019,Ampersand,Latin,843
2019,ASCII,String_(computer_science),32
2019,Line_wrap_and_word_wrap,Hyphen,120
2019,Ellipsis,Reference_mark,435
2019,List_of_XML_and_HTML_character_entity_references,Ampersand,879
2019,Monospaced_font,Typewriter,342
2019,Currency_symbol,Spesmilo,170
2019,World_Wide_Web,Document,230
2019,Base36,ASCII,87
2019,International_email,ASCII,33
2019,MIME,ASCII,929
2019,Zippo,Backslash,207
2019,Chevron,Guillemet,1483
2019,Asterisk,Interrobang,133
2019,Iteration_mark,Ditto_mark,396
2019,Apostrophe,Grave_accent,257
2019,Obelus,Division_(mathematics),1428
2019,List_of_logic_symbols,Gödel_numbering,497
2019,Phoneme,Bracket,216
2019,Apache_Hadoop,Command-line_interface,68
2019,DOS,Command-line_interface,381
2019,Microsoft_Notepad,Command-line_interface,94
2019,Slash_(punctuation),Bullet_(typography),73
2019,Comma-separated_values,Quotation_mark,324
2019,ASCII,S,183
2019,Tilde,APL_syntax_and_symbols,147
2019,Tilde,Comma,228
2019,Caret,Hyphen-minus,157
2019,Character_encoding,Unicode,3392
2019,Āyah,Unicode,116
2019,Media_controls,Unicode,136
2019,Typography,Wang_Zhen_(inventor),256
2019,Mathematical_Operators,Plus_and_minus_signs,203
2019,Order_of_operations,Slash_(punctuation),330
2019,ASCII,Graphical_user_interface,146
2019,Underscore,Inverted_question_and_exclamation_marks,61
2019,Smalltalk,Programming_language,399
2019,Macro_(computer_science),Programming_language,225
2019,Slash_(punctuation),Marginalia,66
2019,ASCII,P,67
2019,Slash_(punctuation),Oxford_University_Press,118
2019,Asterisk,Multiplication,198
2019,ASCII,VISCII,383
2019,ASCII,MIK_(character_set),247
2019,Typeface,List_of_typographic_features,198
2019,Scriptio_continua,Punctuation,22
2019,Typewriter,First_Department,11
2019,Glyph,Typography,1401
2019,Number_sign,Ampersand,738
2019,ASCII,ASCII_(disambiguation),2306
2019,Hyphen,Proper_noun,116
2019,Typewriter,E._Remington_and_Sons,1600
2019,Phonology,Syllable,2113
2019,ASCII,Pound_sign,287
2019,Currency_symbol,Devanagari,278
2019,Computer_terminal,ASCII,172
2019,Typography,Salience_(language),171
2019,Tilde,Irony_punctuation,925
2019,Numero_sign,Copyleft,255
2019,License_proliferation,Copyleft,449
2019,GNU_Project,Copyleft,441
2019,Punctuation_of_English,Asterisk,197
2019,Question_mark,Guillemet,194
2019,Full_stop,Guillemet,1098
2019,Hyphen,Script_typeface,93
2019,Full_stop,Abbreviation,231
2019,Inverted_question_and_exclamation_marks,Interrobang,2364
2019,Logical_connective,List_of_logic_symbols,599
2019,CFLAGS,Command-line_interface,160
2019,List_of_command-line_interpreters,Command-line_interface,414
2019,Exclamation_mark,Comma,408
2019,Full_stop,Space_(punctuation),181
2019,Fleuron_(typography),Hyphen-minus,974
2019,Dagger_(typography),Annotation,533
2019,Script_(Unicode),Unicode,264
2019,UTF-16,Unicode,2101
2019,List_of_logic_symbols,Uniqueness_quantification,386
2019,Programming_language,Object-based_language,109
2019,Stroke_(disambiguation),Slash_(punctuation),92
2019,Context-free_grammar,Programming_language,55
2019,Fourth-generation_programming_language,Programming_language,379
2019,BASIC,Programming_language,246
2019,Programming_language,Oxford_University_Press,77
2019,ASCII,ZX_Spectrum_character_set,289
2019,Israeli_new_shekel,Currency_symbol,240
2019,At_sign,Computer_keyboard,303
2019,Syllable,Specials_(Unicode_block),494
2019,Box-drawing_character,Specials_(Unicode_block),90
2019,Hyphen,Schwabacher,93
2019,Domain_name,Full_stop,276
2019,Frutiger_(typeface),Typography,30
2019,ASCII,EBCDIC_281,249
2019,Ampersand,Caret,309
2019,Plane_(Unicode),Code_point,608
2019,Chinese_language,Syllable,293
2019,Pseudoword,Syllable,10
2019,Phonetics,Syllable,109
2019,Pilcrow,Glyph,231
2019,Irony_punctuation,Dagger_(typography),274
2019,String_(computer_science),ASCII,152
2019,Typewriter,Smith_Corona,1062
2019,Equals_sign,Copyleft,115
2019,Slash_(punctuation),Equals_sign,58
2019,Dash,Lozenge,33
2019,Document,Receipt,71
2019,C_shell,Command-line_interface,387
2019,Quotation_marks_in_English,Quotation_mark,2057
2019,Print_Screen,Hyphen-minus,10
2019,Letter_(alphabet),Unicode,155
2019,Universal_quantification,Unicode,10
2019,Webdings,Unicode,51
2019,Hentaigana,Unicode,140
2019,Comma,Conjunction_(grammar),133
2019,Multiplication_sign,Interpunct,745
2019,.NET_Framework,Programming_language,1753
2019,Logarithm,Programming_language,72
2019,Currency_symbol,List_of_currencies,1645
2019,Copyleft,Linux_Journal,840
2019,Typography,Flyer_(pamphlet),91
2019,Obelus,Obelisk_(disambiguation),301
2019,Twiddle,Tilde,79
2019,"Cañon_City,_Colorado",Tilde,224
2019,ASCII,EBCDIC_024,244
2019,Hyphen-minus,Hyphen,2621
2019,Filename_extension,Full_stop,1524
2019,Hyphen,Dingbat,89
2019,Grammatical_gender_in_German,Syllable,61
2019,Japanese_punctuation,Exclamation_mark,201
2019,UTF-8,ASCII,8981
2019,Punctuation,Copyleft,545
2019,Mycroft_(software),Copyleft,520
2019,Word_divider,Determinative,33
2019,Ellipsis,Colloquialism,197
2019,At_sign,Interrobang,424
2019,Typewriter,Prime_(symbol),48
2019,List_of_mathematical_symbols,List_of_logic_symbols,1983
2019,Ellipsis,List_of_logic_symbols,105
2019,Syllable,Phonotactics,1324
2019,OpenWrt,Command-line_interface,210
2019,GNU_Compiler_Collection,Command-line_interface,453
2019,Copyleft,Vorbis,1316
2019,Delimiter-separated_values,Comma,52
2019,Programming_language,Wolfram_Language,597
2019,Therefore_sign,Unicode,193
2019,Long_s,Slash_(punctuation),325
2019,Chris_Lattner,Programming_language,406
2019,Ruble_sign,Currency_symbol,455
2019,Ukrainian_hryvnia,Currency_symbol,217
2019,Typography,Dyslexia,118
2019,Hyphen,Pipeline_(Unix),117
2019,Grapheme,Punctuation,356
2019,ZIP_Code,Hyphen,1209
2019,ASCII,Dollar_sign,285
2019,Quotation_mark,Reference_mark,203
2019,At_sign,Semicolon,344
2019,John_Heisman,Syllable,570
2019,Tilde,Close-mid_back_unrounded_vowel,61
2019,"Winston-Salem,_North_Carolina",Dash,97
2019,Quotation_mark,Exclamation_mark,431
2019,Graphic_design,Glyph,412
2019,Hyphen,Reduplication,319
2019,American_National_Standards_Institute,ASCII,255
2019,Carriage_return,ASCII,1230
2019,Command-line_interface,MATLAB,129
2019,ASCII,8,587
2019,Yen_sign,Copyleft,79
2019,Typography,Diacritic,67
2019,Dollar_sign,Backslash,449
2019,Currency_symbol,Philippine_peso_sign,1966
2019,Trademark_symbol,List_of_logic_symbols,179
2019,Dollar_sign,List_of_logic_symbols,488
2019,Ampersand,Logogram,6253
2019,Character_(computing),Universal_Coded_Character_Set,578
2019,Glyph,Character_encodings_in_HTML,466
2019,Year_zero,Hyphen-minus,419
2019,Triple_bar,Unicode,432
2019,Julia_(programming_language),Unicode,230
2019,Python_(programming_language),Unicode,664
2019,ASCII,KOI8-R,251
2019,Bracket,Inverted_question_and_exclamation_marks,286
2019,Copyright_symbol,Interpunct,498
2019,Typography,Architecture,120
2019,Semicolon,Duodecimal,578
2019,ASCII,Big5,253
2019,Typewriter,Bette_Nesmith_Graham,140
2019,ASCII,Code_page_852,247
2019,Ampersand,Wedge_(symbol),686
2019,Unicode,Script_(Unicode),2854
2019,Punctuation_of_English,Hyphen,259
2019,Unicode,Base64,225
2019,Edition_(book),Typography,87
2019,Unicode,Cypriot_syllabary,235
2019,Cherokee_syllabary,Syllable,183
2019,Asterisk,C*-algebra,239
2019,Reiwa,Glyph,108
2019,Semicolon,Dash,1043
2019,ANSI_character_set,ASCII,2364
2019,Hyphen,Style_guide,140
2019,Plus_and_minus_signs,Asterisk,179
2019,Equals_sign,Guillemet,289
2019,Quotation_mark,Interrobang,150
2019,Currency_sign_(typography),Interrobang,126
2019,Word_divider,Whitespace_character,383
2019,ASCII,KS_X_1001,247
2019,Interrobang,Bracket,164
2019,Rust_(programming_language),Bracket,324
2019,Bracket,Hyphen-minus,975
2019,Comma,Unicode,111
2019,At_sign,Underwood_Typewriter_Company,402
2019,Obelus,Mathematical_notation,271
2019,Linux,Programming_language,741
2019,At_sign,Question_mark,177
2019,Irony_punctuation,Question_mark,1574
2019,Currency_Symbols_(Unicode_block),Currency_symbol,807
2019,Typography,History_of_Western_typography,734
2019,Interrobang,Greek_drachma,23
2019,Hyphen,List_of_typographic_features,95
2019,Copyleft,Software,263
2019,Colon_(punctuation),Genitive_case,130
2019,Quotation_mark,Punctuation,1887
2019,Syllable,Tenseness,216
2019,Mette_Frederiksen,Typography,1726
2019,Dash,Reference_mark,173
2019,Percent_sign,Ampersand,182
2019,Command-line_interface,BBC_Micro,255
2019,Interrobang,Ellipsis,438
2019,Unicode,Fraser_script,339
2019,Triphthong,Syllable,122
2019,Anders_Behring_Breivik,Typewriter,1430
2019,ASCII,Code_page_1105,244
2019,Unicode,Quoted-printable,270
2019,Question_mark,Dash,150
2019,Dash,Exclamation_mark,378
2019,Backslash,ALGOL_68,277
2019,Quotation_mark,Irony_punctuation,196
2019,Full_stop,Aristophanes_of_Byzantium,246
2019,Free_and_open-source_software,Copyleft,147
2019,Interpunct,Muhammad,21
2019,Copyleft,Chlorophytum_comosum,1250
2019,Greater-than_sign,Guillemet,981
2019,ASCII,ISO/IEC_8859-6,376
2019,List_of_symbols,Interrobang,180
2019,Glyph,Uncial_script,71
2019,Tilde,Plus-minus_sign,57
2019,Space_(punctuation),Bracket,166
2019,List_of_XML_and_HTML_character_entity_references,Quotation_mark,370
2019,Magic_SysRq_key,QWERTY,117
2019,Interrobang,List_of_American_Type_Founders_typefaces,122
2019,Slash_(punctuation),Hyphen-minus,2569
2019,ASCII,Binary-coded_decimal,481
2019,Basmala,Unicode,304
2019,Vietnamese_language,Unicode,22
2019,Richard_Stallman,Programming_language,326
2019,Semicolon,Geʽez_script,679
2019,Code_point,UTF-8,334
2019,Ditto_mark,Vertical_bar,68
2019,Ampersand,Sindhi_language,582
2019,ASCII,Luther_H._Hodges,315
2019,Unicode,Wide_character,301
2019,Ellipsis,Basis_point,267
2019,Interrobang,Code2000,37
2019,QWERTY,HCESAR,1380
2019,Typography,Currency,47
2019,List_of_logic_symbols,Mathematical_operators_and_symbols_in_Unicode,964
2019,Interrobang,?!_(album),212
2019,At_sign,German_gold_mark,44
2019,Plus_and_minus_signs,Reference_mark,21
2019,ASCII,ASCII_ribbon_campaign,943
2019,Ellipsis,Ampersand,340
2019,Syntactic_sugar,Semicolon,390
2019,Portuguese_phonology,Syllable,224
2019,Apostrof,Apostrophe,122
2019,Exclamation_mark,Saint-Louis-du-Ha!_Ha!,153
2018,Typography,Reliquary,150
2018,Singapore_dollar,Currency_symbol,199
2018,Ghanaian_cedi,Currency_symbol,222
2018,ASCII,2,268
2018,Syllable,Speech,860
2018,Copyleft,Opposition_to_copyright,454
2018,Numero_sign,Guillemet,91
2018,Currency_symbol,Hyphen-minus,517
2018,Minute_and_second_of_arc,ASCII,153
2018,Degree_symbol,Obelus,36
2018,Note_(typography),Obelus,103
2018,Komma,Comma,319
2018,Exclamation_mark,Comma,544
2018,Phonemic_awareness,Syllable,739
2018,Typewriter,Sholes_and_Glidden_typewriter,1230
2018,Keyboard,Typewriter,1368
2018,Czech_orthography,Quotation_mark,72
2018,Typography,Renaissance,52
2018,Degree_symbol,Unicode,461
2018,Astrological_sign,Plus_and_minus_signs,482
2018,Slash_(punctuation),Word_divider,223
2018,ASCII,GBK_(character_encoding),213
2018,Form_(document),Document,409
2018,Guillemet,Pilcrow,360
2018,Comma,Comma_(disambiguation),9887
2018,MinGW,Copyleft,164
2018,List_of_XML_and_HTML_character_entity_references,Character_(computing),602
2018,History_of_copyright_law,Copyleft,37
2018,Punctuation,Sound_recording_copyright_symbol,109
2018,Multiplication_sign,Number_sign,101
2018,Exclamation_mark,Irony_punctuation,248
2018,Currency_symbol,Franc,364
2018,Dot-decimal_notation,Full_stop,166
2018,Dateline,Dash,508
2018,Typography,Punchcutting,163
2018,Currency_symbol,Turkish_lira_sign,616
2018,Punctuation_of_English,Guillemet,270
2018,Apostrophe,Tilde,142
2018,Exclamation_mark,Interrobang,1731
2018,FFmpeg,Command-line_interface,177
2018,C_(programming_language),Command-line_interface,3881
2018,Comparison_of_download_managers,Command-line_interface,217
2018,NetworkManager,Command-line_interface,161
2018,IBM_Electric_typewriter,Typewriter,272
2018,ASCII,Casio_calculator_character_sets,214
2018,Question_mark,Slash_(punctuation),282
2018,Underscore,Slash_(punctuation),264
2018,Question_mark,Ditto_mark,33
