file,url,toClicksLink,toClicksExternal,toClicksOther,toClicks,fromClicks
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,List_of_FIFA_World_Cup_finals,1136,60067,45,61248,11895
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,The_Witcher_(TV_series),2858,5230,69,8157,1818
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,Lists_of_deaths_by_year,65244,529931,1881,597056,397191
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,Richard_Ramirez,7588,118484,543,126615,15335
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,Nipsey_Hussle,9227,60495,213,69935,16979
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,Royal_Rumble_(2018),305371,3132259,61736,3499366,1063670
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,Death_of_Elisa_Lam,8011,78458,164,86633,14169
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,21_Savage,30094,235515,6844,272453,71170
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,Luke_Perry,15364,67573,394,83331,7949
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,Game_of_Thrones,66695,635182,14536,716413,352686
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,XHamster,7762,8139193,11120,8158075,34834
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,Ray_Liotta,25974,92126,362,118462,24042
hdfs://spark-nn.eemcs.utwente.nl/user/s1934538/clickstream/clickstream-enwiki-2018-01.tsv.gz,Christopher_Scarver,33247,48775,126,82148,15205
